Artist,Title,Popularity,Duration_ms,Album,Danceability,Acousticness,Energy,Liveness,Loudness,Valence,Tempo,Speechiness,Artist_Popularity,Artist_Genres,Artist_Followers,Artist_Country,Artist_Song,Song_ID
Lady Gaga & Bruno Mars,DIE WITH A SMILE,100,251667,Die With A Smile,0.521,0.308,0.592,0.122,-7.777,0.535,157.969,0.0304,92,"art pop, dance pop, pop",32798999,Unknown,Lady Gaga & Bruno Mars - DIE WITH A SMILE,1
Disturbed,THE SOUND OF SILENCE - CYRIL REMIX,63,185238,The Sound of Silence (CYRIL Remix),0.68,0.123,0.721,0.162,-4.379,0.244,125.963,0.188,77,"alternative metal, nu metal, rap metal, rock",6960803,Unknown,Disturbed - THE SOUND OF SILENCE - CYRIL REMIX,2
Sabrina Carpenter,TASTE,94,157279,Short n' Sweet,0.674,0.101,0.907,0.297,-4.086,0.721,112.964,0.064,94,pop,15022263,Unknown,Sabrina Carpenter - TASTE,3
Shaboozey,A BAR SONG (TIPSY),86,171291,A Bar Song (Tipsy),0.722,0.0633,0.709,0.0804,-4.95,0.604,81.012,0.0273,80,"modern country pop, pop rap",787653,Unknown,Shaboozey - A BAR SONG (TIPSY),4
Teddy Swims,BAD DREAMS,85,184577,Bad Dreams,0.707,0.274,0.68,0.0932,-6.203,0.62,125.058,0.0884,86,,3398685,Unknown,Teddy Swims - BAD DREAMS,5
Marshmello & Kane Brown,MILES ON IT,81,168355,Miles On It,0.634,0.00537,0.761,0.549,-4.752,0.785,129.963,0.0472,85,"brostep, edm, pop, progressive electro house",33894470,Unknown,Marshmello & Kane Brown - MILES ON IT,6
Lost Frequencies & Tom Odell,BLACK FRIDAY - PRETTY LIKE THE SUN,83,145599,Black Friday (pretty like the sun),0.853,0.633,0.618,0.0972,-10.833,0.32,126.031,0.0923,81,"belgian edm, edm, pop dance, tropical house",2934850,Unknown,Lost Frequencies & Tom Odell - BLACK FRIDAY - PRETTY LIKE THE SUN,7
Billie Eilish,BIRDS OF A FEATHER,97,210373,HIT ME HARD AND SOFT,0.747,0.2,0.507,0.117,-10.171,0.438,104.978,0.0358,96,"art pop, pop",102354814,Unknown,Billie Eilish - BIRDS OF A FEATHER,8
"Coldplay feat. Little Simz, Burna Boy, Elyanna & Tini",WE PRAY,11,233406,Pop Spotlight,0.742,0.0655,0.509,0.0738,-7.923,0.683,135.961,0.0643,92,"permanent wave, pop",54734700,Unknown,"Coldplay feat. Little Simz, Burna Boy, Elyanna & Tini - WE PRAY",9
Alex Warren,CARRY YOU HOME,79,166880,"You'll Be Alright, Kid (Chapter 1)",0.525,0.468,0.66,0.128,-7.094,0.458,123.787,0.111,77,"gen z singer-songwriter, singer-songwriter pop",616089,Unknown,Alex Warren - CARRY YOU HOME,10
Alesso & Nate Smith,I LIKE IT,76,152349,I Like It (with Nate Smith),0.658,0.000266,0.817,0.259,-3.652,0.629,129.075,0.0373,77,"dance pop, edm, pop, pop dance, progressive electro house",3949902,Unknown,Alesso & Nate Smith - I LIKE IT,11
"Clean Bandit, Anne-Marie & David Guetta",CRY BABY,73,157086,Cry Baby,0.664,0.333,0.762,0.177,-4.286,0.576,118.979,0.104,77,"pop, uk dance, uk funky",5618814,Unknown,"Clean Bandit, Anne-Marie & David Guetta - CRY BABY",12
Gracie Abrams,"I LOVE YOU, I'M SORRY",90,157146,The Secret of Us,0.53,0.656,0.406,0.133,-7.507,0.338,115.94,0.033,90,alt z,3112258,Unknown,"Gracie Abrams - I LOVE YOU, I'M SORRY",13
Yves Berendse,TERUG IN DE TIJD,70,187357,Terug In De Tijd,0.65,0.108,0.767,0.0879,-7.688,0.536,122.749,0.0458,63,kermis,39456,Unknown,Yves Berendse - TERUG IN DE TIJD,14
The Weeknd,DANCING IN THE FLAMES,84,220036,Dancing In The Flames,0.552,0.0011,0.73,0.0837,-6.203,0.162,116.875,0.0381,96,"canadian contemporary r&b, canadian pop, pop",94569759,Unknown,The Weeknd - DANCING IN THE FLAMES,15
Pommelien Thijs & Meau,HET MIDDEN,66,161160,Het Midden,0.793,0.109,0.661,0.0631,-6.731,0.846,143.965,0.11,59,,148474,Unknown,Pommelien Thijs & Meau - HET MIDDEN,16
Martin Garrix feat. Carolina Liar,SMILE,65,192963,Smile (feat. Carolina Liar),0.57,0.465,0.595,0.0556,-7.086,0.337,125.038,0.0304,77,"dutch edm, edm, pop, pop dance, progressive house",15098560,Unknown,Martin Garrix feat. Carolina Liar - SMILE,17
Yves Berendse & Emma Heesters,ALLEEN MET JOU,67,193694,Alleen Met Jou,0.694,0.0353,0.81,0.367,-5.338,0.805,124.026,0.0295,63,kermis,39456,Unknown,Yves Berendse & Emma Heesters - ALLEEN MET JOU,18
Karol G,SI ANTES TE HUBIERA CONOCIDO,93,195824,Si Antes Te Hubiera Conocido,0.924,0.446,0.668,0.0678,-6.795,0.787,128.027,0.0469,91,"reggaeton, reggaeton colombiano, urbano latino",52094032,Unknown,Karol G - SI ANTES TE HUBIERA CONOCIDO,19
Hannah Mae & Maksim,IK WIL DAT JE LIEGT,68,174953,Ik Wil Dat Je Liegt,0.688,0.536,0.513,0.134,-5.97,0.168,106.984,0.0342,63,dutch pop,41605,Unknown,Hannah Mae & Maksim - IK WIL DAT JE LIEGT,20
Bl3ss x CamrinWatsin feat. Bbyclose,KISSES,49,137840,Kisses x My Love (feat. bbyclose) [Caleb Laurenson Mashup],0.814,0.0152,0.639,0.318,-6.857,0.604,132.046,0.0665,70,,22681,Unknown,Bl3ss x CamrinWatsin feat. Bbyclose - KISSES,21
Luna,DAT IS HET LEVEN,68,179100,Dat Is Het Leven,0.421,0.629,0.283,0.357,-12.011,0.112,100.119,0.054,54,,8205,Unknown,Luna - DAT IS HET LEVEN,22
Adam Port & Stryv,MOVE,86,177598,Move,0.727,0.0563,0.782,0.225,-8.529,0.655,119.992,0.042,77,melodic house,218977,Unknown,Adam Port & Stryv - MOVE,23
Myles Smith,WAIT FOR YOU,76,201533,Wait For You,0.642,0.161,0.713,0.137,-5.281,0.302,123.943,0.0451,79,singer-songwriter pop,808555,Unknown,Myles Smith - WAIT FOR YOU,24
Lady Gaga,DISEASE,86,229997,Disease,0.562,0.0513,0.917,0.488,-2.768,0.501,100.987,0.117,92,"art pop, dance pop, pop",32798999,Unknown,Lady Gaga - DISEASE,25
David Guetta & Alesso feat. Madison Love,NEVER GOING HOME TONIGHT,77,164285,Never Going Home Tonight (feat. Madison Love),0.513,0.28,0.813,0.258,-2.744,0.355,125.91,0.0335,90,"big room, dance pop, edm, pop, pop dance",26429487,Unknown,David Guetta & Alesso feat. Madison Love - NEVER GOING HOME TONIGHT,26
Alex Warren,BURNING DOWN,77,179437,"You'll Be Alright, Kid (Chapter 1)",0.499,0.0745,0.674,0.0645,-3.866,0.442,171.892,0.0389,77,"gen z singer-songwriter, singer-songwriter pop",616089,Unknown,Alex Warren - BURNING DOWN,27
Claude,LA PRESSION,58,161311,La Pression,0.735,0.136,0.637,0.113,-7.533,0.743,121.972,0.0344,59,,83402,Unknown,Claude - LA PRESSION,28
Gigi Perez,SAILOR SONG,93,211978,Sailor Song,0.494,0.682,0.413,0.193,-10.432,0.273,94.938,0.0254,81,bedroom pop,516240,Unknown,Gigi Perez - SAILOR SONG,29
Kygo & Imagine Dragons,STARS WILL ALIGN,75,234366,Stars Will Align,0.601,0.451,0.75,0.0559,-6.33,0.146,111.984,0.0305,82,"edm, pop, pop dance, tropical house",8490791,Unknown,Kygo & Imagine Dragons - STARS WILL ALIGN,30
Post Malone feat. Morgan Wallen,I HAD SOME HELP,84,178205,F-1 Trillion,0.644,0.0113,0.874,0.227,-4.723,0.753,128.017,0.0265,91,"dfw rap, melodic rap, pop, rap",45806053,Unknown,Post Malone feat. Morgan Wallen - I HAD SOME HELP,31
Myles Smith,STARGAZING,88,172533,Stargazing,0.635,0.246,0.601,0.11,-6.129,0.332,123.994,0.0295,79,singer-songwriter pop,808555,Unknown,Myles Smith - STARGAZING,32
Rosé & Bruno Mars,APT,98,169917,APT.,0.777,0.0283,0.783,0.355,-4.477,0.939,149.027,0.26,85,k-pop,7961052,Unknown,Rosé & Bruno Mars - APT,33
Douwe Bob,I BELIEVE,58,179200,I Believe,0.477,0.111,0.642,0.226,-6.913,0.559,93.893,0.0274,54,"dutch americana, dutch indie, dutch pop, dutch rock",85693,Unknown,Douwe Bob - I BELIEVE,34
Davina Michelle,I WON'T LET GO,39,223384,Higher,0.49,0.12,0.536,0.146,-5.353,0.342,74.963,0.0314,58,dutch pop,469983,Unknown,Davina Michelle - I WON'T LET GO,35
"Gabry Ponte, Sean Paul & Natti Natasha",BORN TO LOVE YA,68,155076,Born To Love Ya,0.652,0.0921,0.863,0.6,-4.853,0.805,130.02,0.0523,76,"eurodance, italo dance, slap house",580220,Unknown,"Gabry Ponte, Sean Paul & Natti Natasha - BORN TO LOVE YA",36
Shawn Mendes,WHY WHY WHY,78,169041,Shawn,0.576,0.00662,0.735,0.475,-6.75,0.455,104.992,0.091,85,"canadian pop, pop, viral pop",43686496,Unknown,Shawn Mendes - WHY WHY WHY,37
Coldplay,FEELSLIKEIMFALLINGINLOVE,78,237803,feelslikeimfallinginlove,0.629,0.0448,0.515,0.117,-7.503,0.339,121.154,0.0272,92,"permanent wave, pop",54734700,Unknown,Coldplay - FEELSLIKEIMFALLINGINLOVE,38
Roxy Dekker,INDUSTRY PLANT,68,140643,Industry Plant,0.759,0.141,0.676,0.0875,-10.074,0.71,111.968,0.0383,64,lustrum,201158,Unknown,Roxy Dekker - INDUSTRY PLANT,39
Linkin Park,THE EMPTINESS MACHINE,90,190427,The Emptiness Machine,0.466,0.0156,0.872,0.121,-3.344,0.806,184.115,0.0336,93,"alternative metal, nu metal, post-grunge, rap metal, rock",27616056,Unknown,Linkin Park - THE EMPTINESS MACHINE,40
Flemming,ONWEER IN M'N HOOFD,57,174545,Onweer In M'n Hoofd,0.659,0.111,0.621,0.135,-8.666,0.512,109.928,0.0364,61,,330372,Unknown,Flemming - ONWEER IN M'N HOOFD,41
Froukje & S10,IK HAAT HEM VOOR JOU,67,154624,Ik Haat Hem Voor Jou,0.604,0.266,0.863,0.244,-6.164,0.402,139.951,0.117,60,"dutch indie, dutch pop",108257,Unknown,Froukje & S10 - IK HAAT HEM VOOR JOU,42
Sabrina Carpenter,ESPRESSO,88,175459,Short n' Sweet,0.699,0.131,0.776,0.205,-5.282,0.708,103.963,0.0293,94,pop,15022263,Unknown,Sabrina Carpenter - ESPRESSO,43
"Kris Kross Amsterdam, Antoon & Zoë Tauran",VLEUGELS,59,160623,Vleugels,0.716,0.106,0.857,0.249,-3.932,0.738,163.964,0.0517,64,"dutch house, dutch pop",248339,Unknown,"Kris Kross Amsterdam, Antoon & Zoë Tauran - VLEUGELS",44
Turfy Gang & Russo,USHUAIA,67,157261,Ushuaia,0.607,0.119,0.884,0.217,-5.143,0.657,125.982,0.0351,58,lustrum,28478,Unknown,Turfy Gang & Russo - USHUAIA,45
Armin van Buuren & Chef'Special,LARGER THAN LIFE,56,175546,Larger Than Life,0.641,0.00617,0.943,0.355,-3.579,0.498,133.997,0.0554,76,"dutch house, dutch trance, edm, pop dance, progressive house, trance",4435159,Unknown,Armin van Buuren & Chef'Special - LARGER THAN LIFE,46
Sam Feldt with Jvke & Anitta,MI AMOR,64,139428,Mi Amor (with JVKE & Anitta),0.694,0.257,0.909,0.191,-4.426,0.875,105.026,0.039,69,"edm, pop dance, tropical house",783580,Unknown,Sam Feldt with Jvke & Anitta - MI AMOR,47
Emma Heesters & Rolf Sanchez,CONTIGO,60,174937,Contigo,0.675,0.464,0.779,0.083,-4.3,0.702,91.853,0.064,60,"channel pop, dutch pop",212794,Unknown,Emma Heesters & Rolf Sanchez - CONTIGO,48
Robert van Hemert,ZOET ZOUT ZUUR,65,180778,"Zoet, Zout, Zuur",0.577,0.0172,0.882,0.0697,-4.056,0.637,136.168,0.0505,55,kermis,9840,Unknown,Robert van Hemert - ZOET ZOUT ZUUR,49
Mark Ambor,BELONG TOGETHER,81,148317,Rockwood,0.646,0.491,0.668,0.212,-5.203,0.64,90.97,0.0282,75,singer-songwriter pop,532083,Unknown,Mark Ambor - BELONG TOGETHER,50
Chappell Roan,"GOOD LUCK, BABE!",94,218423,"Good Luck, Babe!",0.7,0.0502,0.582,0.0881,-5.96,0.785,116.712,0.0356,89,indie pop,3920021,Unknown,"Chappell Roan - GOOD LUCK, BABE!",51
Sabrina Carpenter,PLEASE PLEASE PLEASE,87,186365,Short n' Sweet,0.675,0.257,0.586,0.104,-6.086,0.621,107.015,0.0531,94,pop,15022263,Unknown,Sabrina Carpenter - PLEASE PLEASE PLEASE,52
Dasha,AUSTIN,87,171782,What Happens Now?,0.756,0.464,0.672,0.108,-6.743,0.739,114.935,0.0522,75,,255190,Unknown,Dasha - AUSTIN,53
Eminem,HOUDINI,81,227239,Houdini,0.936,0.0292,0.887,0.0582,-2.76,0.889,127.003,0.0683,93,"detroit hip hop, hip hop, rap",93162600,Unknown,Eminem - HOUDINI,54
David Guetta & OneRepublic,I DON'T WANNA WAIT,85,149667,I Don't Wanna Wait,0.681,0.0375,0.714,0.232,-4.617,0.554,129.976,0.0309,90,"big room, dance pop, edm, pop, pop dance",26429487,Unknown,David Guetta & OneRepublic - I DON'T WANNA WAIT,55
Cyril,STUMBLIN' IN,84,213363,Stumblin' In,0.875,0.0638,0.518,0.125,-8.388,0.37,126.089,0.0551,80,,294815,Unknown,Cyril - STUMBLIN' IN,56
Kris Kross Amsterdam & Inna,QUEEN OF MY CASTLE,58,156290,Queen Of My Castle,0.581,0.0423,0.76,0.453,-4.51,0.225,128.111,0.0551,64,"dutch house, dutch pop",248339,Unknown,Kris Kross Amsterdam & Inna - QUEEN OF MY CASTLE,57
Dua Lipa,ILLUSION,75,188143,Radical Optimism,0.679,0.0277,0.772,0.106,-4.721,0.709,126.964,0.0472,88,"dance pop, pop, uk pop",45017193,Unknown,Dua Lipa - ILLUSION,58
Sera,HURT ME,51,185476,Hurt Me,0.452,0.0305,0.496,0.221,-7.304,0.226,170.1,0.0468,55,,53386,Unknown,Sera - HURT ME,59
"Meduza, OneRepublic & Leony",FIRE,67,168928,Fire (Official UEFA EURO 2024 Song),0.538,0.231,0.82,0.218,-7.234,0.27,129.919,0.0513,75,"edm, pop dance, pop house, uk dance",837403,Unknown,"Meduza, OneRepublic & Leony - FIRE",60
Alok & Jess Glynne,SUMMER'S BACK,64,147619,Summer's Back,0.703,0.000642,0.914,0.36,-4.75,0.863,126.028,0.127,80,"electro house, pop nacional, slap house",11275619,Unknown,Alok & Jess Glynne - SUMMER'S BACK,61
Di-Rect,WASTELANDS,52,220820,Sphinx,0.56,0.019,0.704,0.173,-8.853,0.628,112.998,0.036,53,"dutch pop, dutch rock",177017,Unknown,Di-Rect - WASTELANDS,62
"Afro Bros, John West, Monq & Billy Dans",VANNACHT SLAAP JIJ BIJ MIJ,61,148704,Vannacht Slaap Jij Bij Mij,0.92,0.0594,0.721,0.0533,-4.96,0.609,97.945,0.152,56,"basshall, dutch hip hop, dutch house",74300,Unknown,"Afro Bros, John West, Monq & Billy Dans - VANNACHT SLAAP JIJ BIJ MIJ",63
"Zerb, Sofiya Nzau / Zerb, Tiësto & Sofiya Nzau",MWAKI / MWAKI - TIËSTO'S VIP MIX,68,160439,Mwaki (Tiësto's VIP Mix),0.689,0.0281,0.897,0.119,-6.422,0.38,127.993,0.041,74,pop dance,112852,Unknown,"Zerb, Sofiya Nzau / Zerb, Tiësto & Sofiya Nzau - MWAKI / MWAKI - TIËSTO'S VIP MIX",64
Benson Boone,SLOW IT DOWN,87,161831,Fireworks & Rollerblades,0.432,0.174,0.583,0.0933,-4.682,0.544,181.489,0.0687,86,singer-songwriter pop,3928880,Unknown,Benson Boone - SLOW IT DOWN,65
Alex Warren,BEFORE YOU LEAVE ME,71,176178,"You'll Be Alright, Kid (Chapter 1)",0.702,0.151,0.84,0.081,-5.382,0.639,120.035,0.0657,77,"gen z singer-songwriter, singer-songwriter pop",616089,Unknown,Alex Warren - BEFORE YOU LEAVE ME,66
Roxy Dekker,SUGARDADDY,65,131796,Sugardaddy,0.84,0.215,0.856,0.0651,-3.743,0.794,127.046,0.112,64,lustrum,201158,Unknown,Roxy Dekker - SUGARDADDY,67
"Jaxomy, Agatino Romero & Raffaella Carrà",PEDRO,79,144846,Pedro,0.788,0.0229,0.936,0.311,-6.294,0.844,151.019,0.301,66,,94060,Unknown,"Jaxomy, Agatino Romero & Raffaella Carrà - PEDRO",68
Benson Boone,BEAUTIFUL THINGS,89,180304,Fireworks & Rollerblades,0.472,0.151,0.471,0.14,-5.692,0.219,105.029,0.0603,86,singer-songwriter pop,3928880,Unknown,Benson Boone - BEAUTIFUL THINGS,69
Dua Lipa,TRAINING SEASON,79,209487,Radical Optimism,0.812,0.0349,0.587,0.123,-4.483,0.664,123.041,0.0477,88,"dance pop, pop, uk pop",45017193,Unknown,Dua Lipa - TRAINING SEASON,70
Di-Rect,MY BLOOD,47,221822,My Blood,0.303,0.0288,0.714,0.113,-6.646,0.215,157.321,0.0545,53,"dutch pop, dutch rock",177017,Unknown,Di-Rect - MY BLOOD,71
Donnie & Snollebollekes,ENGELENGEZANG,58,162173,Engelengezang,0.658,0.329,0.918,0.32,-4.468,0.837,169.028,0.165,60,dutch hip hop,121529,Unknown,Donnie & Snollebollekes - ENGELENGEZANG,72
Joost,LUCHTBALLON,61,136363,Luchtballon,0.613,0.171,0.915,0.143,-6.212,0.43,176.083,0.0843,68,,824067,Unknown,Joost - LUCHTBALLON,73
Douwe Bob,NOTHING TO LOSE,50,184396,Nothing To Lose,0.546,0.117,0.836,0.215,-5.877,0.678,135.018,0.0371,54,"dutch americana, dutch indie, dutch pop, dutch rock",85693,Unknown,Douwe Bob - NOTHING TO LOSE,74
Tino Martin & Anouk,VOOR JE 'T WEET,56,197204,Voor Je ‘t Weet,0.692,0.146,0.528,0.133,-7.079,0.212,120.951,0.0313,60,"dutch pop, kermis",218108,Unknown,Tino Martin & Anouk - VOOR JE 'T WEET,75
La Fuente / La Fuente,RATATA / RATATA - OUTSIDERS REMIX,58,175500,Ratata (Outsiders Remix),0.624,0.00869,0.991,0.371,-1.28,0.301,160.029,0.207,53,"dutch edm, dutch house",79397,Unknown,La Fuente / La Fuente - RATATA / RATATA - OUTSIDERS REMIX,76
Teddy Swims,THE DOOR,86,212648,I've Tried Everything But Therapy (Part 1),0.731,0.0193,0.861,0.123,-5.483,0.759,127.922,0.0532,86,,3398685,Unknown,Teddy Swims - THE DOOR,77
Purple Disco Machine & Ásdís,BEAT OF YOUR HEART,60,209186,Paradise,0.751,0.00293,0.755,0.127,-5.183,0.496,120.97,0.0457,74,"deep house, house",755557,Unknown,Purple Disco Machine & Ásdís - BEAT OF YOUR HEART,78
Rondé,UNDECIDED,53,160301,Undecided,0.736,0.0673,0.886,0.0544,-3.529,0.866,124.978,0.034,54,"dutch indie, dutch pop, dutch rock",56895,Unknown,Rondé - UNDECIDED,79
Suzan & Freek,VERLEDEN TIJD,55,176166,Verleden Tijd,0.684,0.396,0.408,0.138,-9.621,0.176,118.036,0.0332,61,dutch pop,612471,Unknown,Suzan & Freek - VERLEDEN TIJD,80
Joost,EUROPAPA,69,160218,Europapa,0.706,0.173,0.94,0.228,-4.969,0.479,160.068,0.168,68,,824067,Unknown,Joost - EUROPAPA,81
Beyoncé,TEXAS HOLD 'EM,73,233456,COWBOY CARTER,0.727,0.582,0.711,0.158,-6.549,0.375,110.012,0.078,87,"pop, r&b",38988503,Unknown,Beyoncé - TEXAS HOLD 'EM,82
Mr. Belt & Wezol,IT'S NOT RIGHT BUT IT'S OKAY,77,152304,It's Not Right But It's Okay,0.755,0.0144,0.86,0.344,-4.811,0.618,128.004,0.0523,66,"dutch edm, house",177574,Unknown,Mr. Belt & Wezol - IT'S NOT RIGHT BUT IT'S OKAY,83
Rolf Sanchez,UN CHANCE,50,172385,Un Chance,0.929,0.0529,0.738,0.0801,-3.962,0.707,115.039,0.045,55,dutch pop,103490,Unknown,Rolf Sanchez - UN CHANCE,84
Billie Eilish,LUNCH,86,179586,HIT ME HARD AND SOFT,0.893,0.0452,0.4,0.0632,-7.981,0.945,124.987,0.0643,96,"art pop, pop",102354814,Unknown,Billie Eilish - LUNCH,85
Flemming,HOOP DAT JIJ ME MIST,52,165595,Hoop Dat Jij Me Mist,0.741,0.305,0.754,0.222,-6.393,0.668,137.935,0.0553,61,,330372,Unknown,Flemming - HOOP DAT JIJ ME MIST,86
Artemas,I LIKE THE WAY YOU KISS ME,84,142514,i like the way you kiss me,0.599,0.000938,0.946,0.0826,-4.263,0.747,151.647,0.0447,79,,998099,Unknown,Artemas - I LIKE THE WAY YOU KISS ME,87
Chef'Special,FLY LIKE ME,23,182066,New Gold,0.628,0.0192,0.846,0.357,-4.322,0.78,146.982,0.124,55,"dutch indie, dutch pop, dutch rock, folk-pop, nederreggae",180849,Unknown,Chef'Special - FLY LIKE ME,88
Hozier,TOO SWEET,78,251424,Unreal Unearth: Unaired,0.741,0.0295,0.62,0.0398,-5.505,0.934,117.038,0.0412,86,"irish singer-songwriter, modern rock, pop, pov: indie",8057914,Unknown,Hozier - TOO SWEET,89
Lost Frequencies & Bastille,HEAD DOWN,61,173888,All Stand Together,0.73,0.304,0.845,0.206,-6.702,0.424,123.992,0.131,81,"belgian edm, edm, pop dance, tropical house",2934850,Unknown,Lost Frequencies & Bastille - HEAD DOWN,90
Meau,STUKJE VAN MIJ,59,205520,Stukje Van Mij,0.788,0.718,0.245,0.294,-10.669,0.437,120.045,0.0359,60,dutch pop,183415,Unknown,Meau - STUKJE VAN MIJ,91
Becky Hill,OUTSIDE OF LOVE,57,175628,Believe Me Now?,0.657,0.00903,0.895,0.239,-3.978,0.127,126.014,0.0522,74,"pop dance, pop house, uk dance, uk pop",869098,Unknown,Becky Hill - OUTSIDE OF LOVE,92
Imagine Dragons,EYES CLOSED,70,200026,LOOM,0.718,0.0401,0.68,0.0742,-7.234,0.496,86.997,0.0682,89,"modern rock, pop, rock",55255187,Unknown,Imagine Dragons - EYES CLOSED,93
Mark Ambor,GOOD TO BE,71,147166,Rockwood,0.656,0.575,0.731,0.397,-5.861,0.376,94.009,0.0278,75,singer-songwriter pop,532083,Unknown,Mark Ambor - GOOD TO BE,94
Michael Marcagi,SCARED TO START,85,159636,Scared To Start,0.527,0.384,0.551,0.403,-11.258,0.443,148.035,0.0345,73,,201841,Unknown,Michael Marcagi - SCARED TO START,95
Nemo,THE CODE,65,180141,The Code,0.542,0.215,0.77,0.0893,-3.852,0.489,159.818,0.147,54,,159685,Unknown,Nemo - THE CODE,96
Noah Kahan,STICK SEASON,87,182346,Stick Season,0.664,0.799,0.5,0.0966,-6.935,0.801,117.896,0.0651,86,"pov: indie, singer-songwriter pop",3558140,Unknown,Noah Kahan - STICK SEASON,97
Taylor Swift feat. Post Malone,FORTNIGHT,84,228965,THE TORTURED POETS DEPARTMENT,0.504,0.502,0.386,0.0961,-10.976,0.281,192.004,0.0308,100,pop,126148293,Unknown,Taylor Swift feat. Post Malone - FORTNIGHT,98
"Galantis, David Guetta & 5 Seconds Of Summer",LIGHTER,60,172268,Rx,0.674,0.133,0.799,0.0525,-4.889,0.578,124.933,0.0368,71,"dance pop, edm, pop, pop dance, progressive electro house",3393515,Unknown,"Galantis, David Guetta & 5 Seconds Of Summer - LIGHTER",99
Ofenbach feat. Norma Jean Martine,OVERDRIVE,80,155905,Overdrive (feat. Norma Jean Martine),0.611,0.00257,0.757,0.058,-3.546,0.279,126.963,0.03,74,pop dance,635845,Unknown,Ofenbach feat. Norma Jean Martine - OVERDRIVE,100
Oscar and The Wolf,ANGEL FACE,44,212653,TASTE,0.525,0.00554,0.665,0.0929,-7.392,0.294,94.01,0.0344,56,"belgian indie, belgian pop",330741,Unknown,Oscar and The Wolf - ANGEL FACE,101
Hannah Mae,WATERDICHT,62,171932,Waterdicht,0.708,0.781,0.336,0.142,-10.607,0.502,119.026,0.046,63,dutch pop,41605,Unknown,Hannah Mae - WATERDICHT,102
Kygo with Ava Max,WHATEVER,49,165714,Whatever (with Ava Max) - Tiësto Remix,0.658,0.00154,0.959,0.327,-4.795,0.673,126.147,0.397,82,"edm, pop, pop dance, tropical house",8490791,Unknown,Kygo with Ava Max - WHATEVER,103
"Flemming, Zoë Tauran, Ronnie Flex",ALLES OP GEVOEL,60,169444,Alles Op Gevoel,0.621,0.117,0.747,0.367,-5.531,0.567,134.951,0.145,61,,330372,Unknown,"Flemming, Zoë Tauran, Ronnie Flex - ALLES OP GEVOEL",104
Ariana Grande,WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),86,228639,eternal sunshine,0.645,0.0615,0.646,0.074,-8.334,0.295,115.842,0.0427,93,pop,101098564,Unknown,Ariana Grande - WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),105
Chef'Special,SPEED OF LIGHT,21,187832,New Gold,0.625,0.316,0.607,0.135,-8.033,0.508,125.786,0.0417,55,"dutch indie, dutch pop, dutch rock, folk-pop, nederreggae",180849,Unknown,Chef'Special - SPEED OF LIGHT,106
Claude,ÉCOUTEZ-MOI,29,159000,Écoutez-moi,0.882,0.474,0.586,0.104,-7.491,0.519,120.03,0.0742,59,,83402,Unknown,Claude - ÉCOUTEZ-MOI,107
Dua Lipa,HOUDINI,82,185917,Radical Optimism,0.744,0.0036,0.789,0.0947,-4.876,0.866,116.985,0.059,88,"dance pop, pop, uk pop",45017193,Unknown,Dua Lipa - HOUDINI,108
Davina Michelle,I SAID NO SIR,25,183086,I SAID NO SIR,0.737,0.0983,0.654,0.318,-4.381,0.442,129.92,0.067,58,dutch pop,469983,Unknown,Davina Michelle - I SAID NO SIR,109
David Guetta & Kim Petras,WHEN WE WERE YOUNG (THE LOGICAL SONG),77,147432,When We Were Young (The Logical Song),0.657,0.0526,0.914,0.109,-4.513,0.502,139.989,0.0523,90,"big room, dance pop, edm, pop, pop dance",26429487,Unknown,David Guetta & Kim Petras - WHEN WE WERE YOUNG (THE LOGICAL SONG),110
Bankzitters,ENTOURAGE,59,129433,Entourage,0.838,0.041,0.801,0.0611,-5.506,0.58,127.984,0.0344,62,"lustrum, nederlandse hardstyle",215404,Unknown,Bankzitters - ENTOURAGE,111
Djo,END OF BEGINNING,89,159245,DECIDE,0.689,0.0351,0.454,0.0707,-7.643,0.912,159.982,0.0584,76,"pov: indie, psychedelic pop",1617911,Unknown,Djo - END OF BEGINNING,112
Antoon,BLINDELINGS,51,160645,Blindelings,0.575,0.0369,0.7,0.11,-7.072,0.308,186.071,0.0893,61,lustrum,215444,Unknown,Antoon - BLINDELINGS,113
Alok & Bebe Rexha,DEEP IN YOUR LOVE,68,144648,Deep In Your Love,0.588,0.0243,0.88,0.0667,-5.15,0.523,130.085,0.0354,80,"electro house, pop nacional, slap house",11275619,Unknown,Alok & Bebe Rexha - DEEP IN YOUR LOVE,114
Calvin Harris & Rag 'n' Bone Man,LOVERS IN A PAST LIFE,63,160650,Lovers In A Past Life (with Rag'n'Bone Man),0.752,0.0713,0.793,0.135,-3.871,0.725,129.992,0.0423,87,"dance pop, edm, electro house, house, pop, progressive house, uk dance",22935515,Unknown,Calvin Harris & Rag 'n' Bone Man - LOVERS IN A PAST LIFE,115
Son Mieux,TONIGHT,31,272709,Tonight,0.511,0.161,0.435,0.137,-11.433,0.338,154.948,0.0277,52,"dutch indie, dutch pop, dutch rock, folk-pop",67725,Unknown,Son Mieux - TONIGHT,116
Teddy Swims,LOSE CONTROL,89,210688,I've Tried Everything But Therapy (Part 1),0.561,0.199,0.604,0.104,-4.409,0.242,159.92,0.0337,86,,3398685,Unknown,Teddy Swims - LOSE CONTROL,117
